年度,單位,案件,廠商,廠商設立日,結標日,設立到結標天數,廠商資本額,標案金額,標案金額/資本額,網址
2021,臺南市政府社會局,110-111年我的空間，我作主－婦女及青少中心公共參與計畫,泛科知識股份有限公司,2015-02-06,2021-10-26,2454,30000000,4336675,0.14,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211112&fn=BDM-1-53550300.xml
2021,臺南市政府社會局,臺南市政府社會局110年度長照服務推廣品採購案,軒彩企業社,2004-05-14,2021-10-26,6374,200000,915000,4.58,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211102&fn=BDM-1-53540380.xml
2021,臺南市政府社會局,臺南市政府社會局「新巿安平佳里托育資源中心教玩具採購案」,帝旺數位科技股份有限公司,2009-04-07,2021-10-26,4585,5000000,717700,0.14,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211101&fn=BDM-1-53539383.xml
2021,臺南市政府社會局,臺南市110年度社區照顧關懷據點志工表揚活動,生命樹時創美學有限公司,2013-01-24,2021-09-16,3157,5000000,460000,0.09,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211021&fn=BDM-1-53531926.xml
2021,臺南市政府社會局,臺南市政府社會局110年睦鄰志工百寶袋－救護箱採購案,福星儀器有限公司,1989-06-30,2021-09-23,11773.041666667,3000000,447000,0.15,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211014&fn=BDM-1-53524999.xml
2021,臺南市政府社會局,七股托育資源中心無障礙設施改善工程,龍銓土木工程有限公司,2009-03-11,2021-10-07,4593,16000000,535000,0.03,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211012&fn=BDM-1-53523914.xml
2021,臺南市政府社會局,臺南市政府社會局「臺南市南區社會福利服務中心空間設計與施作案」,惟心創意室內裝修有限公司,2019-07-16,2021-08-31,777,100000,2320000,23.2,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211001&fn=BDM-1-53517190.xml
2021,臺南市政府社會局,臺南市松柏育樂中心老舊建材設備更新及充實工程,豪品室內裝修有限公司,2014-12-09,2021-09-16,2473,5000000,4060000,0.81,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210922&fn=BDM-1-53508575.xml
2021,臺南市政府社會局,臺南市南區親子悠遊館耐震補強工程委託設計監造,萬豐工程顧問有限公司,2018-07-27,2021-08-10,1110,1000000,275000,0.28,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210826&fn=BDM-1-53489507.xml
2021,臺南市政府社會局,110年度績優志工暨績優團隊表揚活動,跨介文化傳播有限公司,2006-10-04,2021-07-20,5403,3000000,600000,0.2,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210818&fn=BDM-1-53482032.xml
2021,臺南市政府社會局,臺南市110年度重陽節百歲人瑞禮品採購案,上雅禮品行(獨資),1995-07-31,2021-07-20,9486,100000,620000,6.2,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210817&fn=BDM-1-53481131.xml
2021,臺南市政府社會局,臺南市政府社會局110年度國民年金宣導品採購案,泰軒企業社(獨資),2017-09-07,2021-08-12,1435,200000,401900,2.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210817&fn=BDM-1-53481225.xml
2021,臺南市政府社會局,臺南市松柏育樂中心既設220V迴路設備更新案,建興水電有限公司,1989-10-26,2021-08-03,11604,2520000,225000,0.09,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210816&fn=BDM-1-53480874.xml
