年度,單位,案件,廠商,廠商設立日,結標日,設立到結標天數,廠商資本額,標案金額,標案金額/資本額,網址
2021,屏東縣屏東市公所,屏東市檳榔腳段一小段48地號等3筆土地地上物拆除工程,億峰土木包工業,2002-11-28,2021-11-24,6936,2500000,863000,0.35,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211125&fn=BDM-1-53563050.xml
2021,屏東縣屏東市公所,110-屏東市公正四街及公德街等路面改善工程,冠億土木工程有限公司,2005-08-18,2021-11-17,5935,3050000,1390000,0.46,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211118&fn=BDM-1-53556407.xml
2021,屏東縣屏東市公所,大洲里清進巷等路面改善工程,鴻甲營造有限公司,2017-10-20,2021-11-10,1482,15000000,187000,0.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211111&fn=BDM-1-53549461.xml
2021,屏東縣屏東市公所,(110)屏東市公所轄區內路面改善工程,郁豐營造有限公司,1976-05-21,2021-11-10,16609,36000000,27780000,0.77,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211111&fn=BDM-1-53549441.xml
2021,屏東縣屏東市公所,大連里大連路25巷等路面改善工程,鴻甲營造有限公司,2017-10-20,2021-11-10,1482,15000000,318000,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211111&fn=BDM-1-53549530.xml
2021,屏東縣屏東市公所,屏東縣屏東市九如鄉玉水段1147地號(歸園環保多元葬區周邊)裸露地綠化計畫,振益營造有限公司,2011-11-04,2021-10-29,3647,10000000,4330000,0.43,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211105&fn=BDM-1-53544491.xml
2021,屏東縣屏東市公所,屏東市鶴聲公園周邊景觀設施改善工程委託規劃設計監造技術服務案,磐古工程顧問有限公司,2010-03-11,2021-10-06,4227,300000,278303,0.93,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211028&fn=BDM-1-53537538.xml
2021,屏東縣屏東市公所,南一區等路面改善工程,盛進營造有限公司,2000-07-19,2021-09-23,7736,3600000,840000,0.23,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210924&fn=BDM-1-53510764.xml
2021,屏東縣屏東市公所,110年屏東縣屏東市武立、武威、自立公園改善設計及工程,鴻銓營造有限公司,2016-07-22,2021-09-23,1889,3600000,4488000,1.25,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210924&fn=BDM-1-53510707.xml
2021,屏東縣屏東市公所,屏東市豐華街等路面改善工程,玖源營造股份有限公司,2020-10-29,2021-09-23,329,3600000,1800000,0.5,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210924&fn=BDM-1-53510740.xml
2021,屏東縣屏東市公所,瑞光里田中巷及菸廠東巷等路面改善工程,國生工程行(獨資),2021-01-22,2021-09-15,236,1000000,506000,0.51,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210916&fn=BDM-1-53506371.xml
2021,屏東縣屏東市公所,110-屏東市公興路221巷、永安圳旁(公正橋~玉成橋)等道路改善工程,冠億土木工程有限公司,2005-08-18,2021-09-08,5865,3050000,1036800,0.34,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210916&fn=BDM-1-53506354.xml
2021,屏東縣屏東市公所,屏東縣第六老人會老人康樂活動中心司令台修繕工程,伸吉土木包工業有限公司,2020-07-31,2021-09-08,404,3000000,340000,0.11,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210909&fn=BDM-1-53500768.xml
2021,屏東縣屏東市公所,屏東市清潔隊110年勞工安全衛生暨環境教育研習,蕎銘旅行社有限公司,2013-06-24,2021-08-11,2970,10000000,900000,0.09,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210906&fn=BDM-1-53497736.xml
2021,屏東縣屏東市公所,「屏東市中央公有零售市場(第4商場)及東區公有零售市場(第2棟、第3棟)建築物耐震能力補強工程」委託規劃設計技術服務,慶鑫工程顧問有限公司,2019-12-18,2021-08-18,609,5000000,690000,0.14,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210902&fn=BDM-1-53495485.xml
2021,屏東縣屏東市公所,屏東市四維路及光明街周邊人行友善空間建置與景觀綠美化改善工程委託規劃設計監造技術服務,宏鑌工程顧問有限公司,2011-03-08,2021-08-11,3809,100000,2351040,23.51,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210827&fn=BDM-1-53491236.xml
2021,屏東縣屏東市公所,空翔里迪化街及高原街等路面改善工程,鴻甲營造有限公司,2017-10-20,2021-08-25,1405,15000000,505000,0.03,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210826&fn=BDM-1-53489635.xml
2021,屏東縣屏東市公所,110-屏東市成都街(信義路-成功路)路面改善工程,尚鼎工程有限公司,2008-11-06,2021-08-25,4675,1000000,780000,0.78,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210826&fn=BDM-1-53489591.xml
