year,unit,case,amount,url
2021,臺南市政府都市發展局,臺南市社會住宅包租代管第3期計畫委託專業服務案,170080000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210827&fn=BDM-1-53491719.xml
2020,臺南市北區文元國民小學,臺南市文元國小109學年度六年級戶外教育勞務採購,1722000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200929&fn=BDM-1-53202631.xml
2019,臺南市立海佃國民中學,海佃國中108學年度九年級校外教學,1222000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190510&fn=BDM-1-52767073.xml
2021,臺南市政府環境保護局,110年臺南市環境教育管理及推動工作計畫,8026000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210318&fn=BDM-1-53354118.xml
2020,臺南市立麻豆國民中學,109學年度全校童軍教育隔宿露營教學活動,1215456,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200903&fn=BDM-1-53182796.xml
2021,臺南市政府觀光旅遊局,「2021臺南市水域遊憩體驗活動暨安全提升」案,2540000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210526&fn=BDM-1-53411089.xml
2021,臺南市政府觀光旅遊局,「2021提升臺南市近岸海域水域遊憩活動安全巡查工作」案,1350000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210422&fn=BDM-1-53383120.xml
2021,臺南市政府地政局,臺南市永康車站北側產業專用區市地重劃作業委託專業服務案,6720000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210902&fn=BDM-1-53496252.xml
2021,臺南市政府地政局,臺南市永康竹園、永康大同、永康五王市地重劃作業聯合委託專業服務案,9118000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210901&fn=BDM-1-53493723.xml
2021,臺南市立安平國民中學,安平國中110學年度三年級戶外教育參觀活動勞務採購,1315550,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210629&fn=BDM-1-53438348.xml
2019,臺南市立歸仁國民中學,108學年度三年級戶外教學勞務採購案,2112000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190710&fn=BDM-1-52818963.xml
2019,臺南市公共運輸處,臺南轉運站委託營運管理,51789936,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190604&fn=BDM-1-52787765.xml
