year,unit,case,amount,url
2021,臺南市政府社會局,臺南市政府社會局「臺南市南區社會福利服務中心空間設計與施作案」,2320000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211001&fn=BDM-1-53517190.xml
2021,臺南市政府社會局,臺南市政府社會局委託辦理「110年度臺南市永康區(埔園龍埔里)社區公共托育家園」,1424118,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210903&fn=BDM-1-53496819.xml
2021,臺南市政府社會局,臺南市政府社會局委託辦理「110年度臺南市東區(林森路)社區公共托育家園」,1084118,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210816&fn=BDM-1-53480846.xml
2021,臺南市政府社會局,110年度臺南市政府社會局委託經營管理臺南市兒童及少年緊急短期安置庇護家園,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210302&fn=BDM-1-53340982.xml
2021,臺南市政府社會局,臺南市政府社會局委託辦理「110年度脆弱家庭育兒指導」案,1677299,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210106&fn=BDM-1-53301150.xml
2021,臺南市政府社會局,110年度遊民外展暨生活重建服務方案,3700000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300103.xml
2021,臺南市政府社會局,110年度臺南市政府社會局委託辦理兒童及少年團體家庭,3287000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300125.xml
2021,臺南市政府社會局,臺南市110年度兒童及少年監護權歸屬調查工作,2454000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300068.xml
2021,臺南市政府社會局,110年度少年及家庭服務方案,3112576,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300069.xml
2021,臺南市政府社會局,臺南市政府社會局委託辦理110年臺南市藥物濫用兒少預防輔導及家庭服務方案,1951356,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53299938.xml
2021,臺南市政府社會局,臺南市政府社會局委託辦理「109-110年臺南市中高齡婦女生活狀況調查」,1000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53299885.xml
2021,臺南市政府社會局,臺南市110年度一般兒童及少年家庭寄養服務,1059000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300056.xml
2020,臺南市政府社會局,臺南市政府社會局委託辦理臺南市兒童及少年團體家庭,1793450,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200907&fn=BDM-1-53184378.xml
2019,臺南市政府社會局,臺南市政府社會局委託經營兒童福利服務中心空間設計及施作案,1405000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190502&fn=BDM-1-52760680.xml
2019,臺南市政府社會局,108年臺南市新住民家庭服務中心計畫,6328108,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190108&fn=BDM-1-52672449.xml
