year,unit,case,amount,url
2021,臺南市政府環境保護局,110年度臺南市安平區垃圾清運委託民營,13672000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210907&fn=BDM-1-53498521.xml
2021,臺南市政府環境保護局,110年度購置清潔人員安全鞋及安全雨鞋,2100000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210907&fn=BDM-1-53498847.xml
2021,臺南市政府環境保護局,110年臺南市廚餘處理設備代操作及營運委託案,6526000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210810&fn=BDM-1-53475408.xml
2021,臺南市政府環境保護局,110年度購置清潔人員工作服開口契約,3465000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210715&fn=BDM-1-53453195.xml
2021,臺南市政府環境保護局,110年臺南市垃圾清運查詢及空氣品質指標推播系統維運計畫,7000200,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210624&fn=BDM-1-53434635.xml
2021,臺南市政府環境保護局,110年臺南市清淨家園及公廁考核計畫,6100000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210203&fn=BDM-1-53326135.xml
2021,臺南市政府環境保護局,110年度臺南市廢棄物處理廠(場)監督專業服務計畫,7026000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210104&fn=BDM-1-53298348.xml
2020,臺南市政府環境保護局,「永康區隊辦公廳舍及停車場興建工程」委託規劃設計監造案,1689600,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201211&fn=BDM-1-53270362.xml
2020,臺南市政府環境保護局,興建區域型資源回收細分類廠先期可行性評估計畫,2271800,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201006&fn=BDM-1-53206606.xml
2020,臺南市政府環境保護局,109年國慶焰火環境清潔維護管理計畫,2806000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200925&fn=BDM-1-53199593.xml
2020,臺南市政府環境保護局,109年臺南市垃圾清運查詢及空氣品質指標推播系統維運計畫,7262000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200618&fn=BDM-1-53118475.xml
