year,unit,case,amount,url
2019,臺南市立海佃國民中學,海佃國中108學年度師生團膳,8989950,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190717&fn=BDM-1-52824355.xml
2021,臺南市立後甲國民中學,後甲國中110學年度學校外訂午餐財物採購,18900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210714&fn=BDM-1-53451494.xml
2021,臺南市立安南國民中學,安南國中110學年度學校午餐委外財物採購(含後續擴充111學年度)案,5800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210728&fn=BDM-1-53465323.xml
2020,臺南市立安南國民中學,安南國中109學年度學校午餐委外財物採購案,11940000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200716&fn=BDM-1-53142288.xml
2020,臺南市立新興國民中學,臺南市立新興國民中學109學年度外訂學生午餐財物採購,4387500,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200717&fn=BDM-1-53143864.xml
2021,臺南市白河區公所,110年度白河區老人疾病防治關懷供餐活動,2653500,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53299213.xml
2020,臺南市學甲區公所,臺南市學甲區109年度營養餐飲服務,1362760,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200313&fn=BDM-1-53037533.xml
2021,臺南市立永康國民中學,110學年度學校午餐外訂盒(桶)餐採購,7650000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210727&fn=BDM-1-53463918.xml
2020,臺南市立永康國民中學,109學年度學校午餐外訂盒(桶)餐採購,7650000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200930&fn=BDM-1-53204545.xml
2021,臺南市麻豆區麻豆國民小學,臺南市麻豆國小110學年度第一學期營養午餐委外辦理財物採購,3960000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210630&fn=BDM-1-53440639.xml
2020,臺南市麻豆區麻豆國民小學,臺南市麻豆國小109學年度第一學期營養午餐委外辦理財物採購,3960000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200720&fn=BDM-1-53144596.xml
2019,臺南市麻豆區麻豆國民小學,臺南市麻豆國小108學年度第一學期營養午餐委外辦理財物採購,3960000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190705&fn=BDM-1-52814836.xml
2020,臺南市關廟區關廟國民小學,臺南市關廟國小109學年度營養午餐委外辦理採購案,3577500,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200717&fn=BDM-1-53144072.xml
2020,臺南市關廟區五甲國民小學,臺南市五甲國小營養午餐委外辦理桶餐財物採購案(109學年度),5739900,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200730&fn=BDM-1-53153831.xml
2019,臺南市關廟區五甲國民小學,臺南市五甲國民小學108學年度學校午餐外訂盒(桶)餐,5437800,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190826&fn=BDM-1-52856932.xml
2020,臺南市立安平國民中學,臺南市立安平國民中學109學年度外訂學生午餐財物採購,7451100,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200805&fn=BDM-1-53158704.xml
2021,臺南市立仁德文賢國民中學,仁德文賢國中110學年度學校午餐外訂盒(桶)餐財物採購,1917000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210628&fn=BDM-1-53437473.xml
2020,臺南市立仁德文賢國民中學,仁德文賢國中108學年度外訂桶餐財物採購,1872000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200716&fn=BDM-1-53142118.xml
2019,臺南市立仁德文賢國民中學,仁德文賢國中108學年度外訂桶餐財物採購,1836000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190729&fn=BDM-1-52833958.xml
2020,臺南市立圖書館,臺南市立圖書館新總館餐飲空間委託經營管理,390000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200902&fn=BDM-1-53180251.xml
2020,臺南市下營區東興國民小學,臺南市東興國小109學年度第一學期營養午餐委外辦理,1624350,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200623&fn=BDM-1-53122184.xml
2020,臺南市立大橋國民中學,大橋國中109學年度學生午餐供應,13500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200722&fn=BDM-1-53146256.xml
2019,臺南市立大橋國民中學,大橋國中108學年度學生午餐供應,13500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190624&fn=BDM-1-52803312.xml
2020,臺南市七股區竹橋國民小學,臺南市109年教師節禮品財物採購,4260000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200916&fn=BDM-1-53191158.xml
2019,臺南市玉井區玉井國民小學,玉井國小107學年度第2學期(108年2月11日至6月28日)學校外訂桶餐採購,2317440,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190123&fn=BDM-1-52687346.xml
2020,臺南市安定區安定國民小學,臺南市安定國小109學年度營養午餐委外辦理採購案,3564000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200813&fn=BDM-1-53165779.xml
2019,臺南市安定區安定國民小學,臺南市安定國小108學年度營養午餐委外辦理採購案,3722400,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190730&fn=BDM-1-52835081.xml
2020,臺南市立忠孝國民中學,臺南市立忠孝國民中學(含附設幼兒園)109學年度外訂桶餐財物採購,9431600,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200601&fn=BDM-1-53102553.xml
2020,臺南市立東原國民中學,"東原國中「109學年度營養午、晚餐團體膳食材料」 勞務採購案",1619640,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200508&fn=BDM-1-53084007.xml
