year,unit,case,amount,url
2019,臺南市政府都市發展局,廣四廣場環境視覺與裝置藝術規劃設置案,5000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190816&fn=BDM-1-52850377.xml
2021,臺南市政府文化局,「原日軍步兵第二聯隊官舍群周邊空間工程委託規劃設計暨監造」,8232000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210923&fn=BDM-1-53509799.xml
2021,臺南市政府文化局,桂子山整體委託規劃設計暨後續擴充監造案,1113240,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210830&fn=BDM-1-53491825.xml
2021,臺南市政府文化局,鹽分地帶文化中心可行性評估暨需求說明書規劃技術服務,990000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210823&fn=BDM-1-53486288.xml
2021,臺南市政府文化局,臺南市立舉重館耐震補強統包工程,12018377,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210629&fn=BDM-1-53438152.xml
2021,臺南市政府文化局,110-111年度本市核心大街歷史老屋立面整修工程規劃設計及監造,1245860,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210504&fn=BDM-1-53391839.xml
2021,臺南市政府文化局,110年度歷史街區及歷史老屋振興補助執行計畫,1800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210419&fn=BDM-1-53379274.xml
2021,臺南市政府文化局,臺南山上花園水道博物館電動遊園車委託規劃經營服務案,4914000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210208&fn=BDM-1-53329822.xml
2021,臺南市政府文化局,110年新營文化中心(含新營美術園區及永成戲院)環境清潔維護案,4022000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53298758.xml
2020,臺南市政府文化局,岸內糖廠公共空間環境改善工程,42500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201211&fn=BDM-1-53269595.xml
2020,臺南市政府文化局,臺南文化中心演藝廳及文物館屋頂防漏工程,5190000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200911&fn=BDM-1-53188932.xml
2020,臺南市政府文化局,安平暨鯤鯓歷史街區計畫擬定,1800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200807&fn=BDM-1-53160681.xml
2020,臺南市政府文化局,仁德區二空新村原眷舍修復再利用委託規劃設計及監造技術服務案,3117841,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200701&fn=BDM-1-53127406.xml
2020,臺南市政府文化局,岸內糖廠藍10辦公樓及紅2倉庫修復工程,31000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200630&fn=BDM-1-53126753.xml
