year,unit,case,amount,url
2021,臺南市政府水利局,臺南市安平抽水站機組更新工程統包案,25098150,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211006&fn=BDM-1-53520638.xml
2021,臺南市政府水利局,臺南市安南區北安商業區市地重劃抽水站新建工程,319000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210303&fn=BDM-1-53342121.xml
2021,臺南市政府水利局,110及111年臺南市政府水利局移動式抽水機維護操作搶險(開口契約)第4標,9500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210226&fn=BDM-1-53339971.xml
2021,臺南市政府水利局,110~112年臺南市政府水利局移動式抽水機維護操作搶險(開口契約)第2標,29000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210121&fn=BDM-1-53315711.xml
2021,臺南市政府工務局,臺南市換裝LED路燈建置工程第1、2、3區(開口契約),619731091,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210504&fn=BDM-1-53392159.xml
2021,臺南市政府農業局,臺南市推動七股及將軍區漁電共生設置專區計畫委託專業服務案,3785000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210407&fn=BDM-1-53368554.xml
2021,臺南市政府消防局,臺南市政府消防局110年度購置無線電相關設備案,6722000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210304&fn=BDM-1-53342831.xml
2021,臺南市政府環境保護局,110年電話交換機系統設備租賃及民治辦公室線路改善採購案,5550000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211109&fn=BDM-1-53546498.xml
2021,臺南市政府教育局,電力系統改善暨冷氣裝設計畫—臺南市校園能源管理系統(EMS)委託建置案,221260000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210810&fn=BDM-1-53475264.xml
2020,臺南市政府經濟發展局,109年度臺南市推動再生能源暨綠能屋頂推廣計畫委託技術案,6800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200901&fn=BDM-1-53179353.xml
