year,unit,case,amount,url
2021,臺南市政府水利局,110年度臺南市水患自主防災社區推動計畫,6050000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210331&fn=BDM-1-53365441.xml
2020,臺南市永康區永康國民小學,永康國小109學年度六年級戶外教育,1584940,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201027&fn=BDM-1-53224051.xml
2019,臺南市政府都市發展局,原臺南縣市都市計畫邊界調整專案通盤檢討案,1568000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190807&fn=BDM-1-52842422.xml
2020,臺南市北區文元國民小學,臺南市文元國小109學年度六年級戶外教育勞務採購,1722000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200929&fn=BDM-1-53202631.xml
2019,臺南市仁德區公所,臺南市仁德區108年度里鄰長文康活動及業務會議,999000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190312&fn=BDM-1-52719621.xml
2020,臺南市政府文化局,新營體育場耶誕音樂會舞台硬體規劃執行,1490000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201211&fn=BDM-1-53269042.xml
2020,臺南市立安南國民中學,安南國中109學年度三年級校外教學參觀活動勞務採購,1497200,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200501&fn=BDM-1-53077921.xml
2019,臺南市安平區新南國民小學,臺南市108年度全國語文競賽參加人員住宿、膳食、交通及保險等勞務採購,1217800,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190905&fn=BDM-1-52865949.xml
2020,臺南市動物防疫保護處,「設置寵物運動公園可行性評估及初步規劃」委託技術服務採購案,1000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201112&fn=BDM-1-53238998.xml
2019,臺南市政府觀光旅遊局,「臺南市擴大秋冬國民旅遊獎勵計畫專案自由行旅客住宿優惠委託諮詢及申請文件審核與核,2445000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191024&fn=BDM-1-52903296.xml
2020,臺南市安南區和順國民小學,臺南市109年度全國語文競賽參加人員住宿、膳食、交通及保險等勞務採購案,1271200,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200921&fn=BDM-1-53195284.xml
2021,臺南市立大橋國民中學,大橋國中110學年度三年級戶外教育活動,2064000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210315&fn=BDM-1-53350737.xml
