year,unit,case,amount,url
2020,臺南市政府民政局,110年臺南市戶役政資訊系統電腦軟硬體設備維護案,4800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201230&fn=BDM-1-53293001.xml
2020,臺南市政府民政局,109年臺南市戶役政資訊系統電腦軟硬體設備維護案,4950000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200103&fn=BDM-1-52982320.xml
2019,臺南市殯葬管理所,109年南區殯儀館公共區域環境清潔委外,3450000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191225&fn=BDM-1-52970139.xml
2021,臺南市政府都市發展局,110年度臺南市都市發展資訊系統資料更新及維護案,2436000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210419&fn=BDM-1-53379379.xml
2021,臺南市政府消防局,臺南市政府消防局110年度永華及民治災害應變中心資通訊設備保養維護服務案,2690000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53298643.xml
2020,臺南市政府消防局,臺南市政府消防局109年度永華及民治災害應變中心資通訊設備保養維護服務案,2750000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200102&fn=BDM-1-52978930.xml
2019,臺南市政府,108年度1999話務系統優化暨設備汰換案,3500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190520&fn=BDM-1-52774757.xml
2020,臺南市政府勞工局,110年度臺南市身心障礙者人力銀行資料庫作業計畫,4800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201230&fn=BDM-1-53293127.xml
2019,臺南市政府勞工局,109年度身心障礙者居家就業服務,1928308,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191231&fn=BDM-1-52977731.xml
2019,臺南市政府勞工局,109年度臺南市身心障礙者人力銀行資料庫作業計畫,4800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191227&fn=BDM-1-52973623.xml
2021,臺南市政府交通局,110年臺南市違規車輛拖吊管理及網站查詢系統擴充整合,1100000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211001&fn=BDM-1-53517049.xml
2021,臺南市政府交通局,110年資通安全維護案,1825000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210316&fn=BDM-1-53351997.xml
2021,臺南市政府觀光旅遊局,「110年度台南旅遊網維護營運暨功能擴充及旅行台南APP整合建置」資訊服務採購案,2900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210803&fn=BDM-1-53469802.xml
2020,臺南市政府觀光旅遊局,「109年度台南旅遊網與旅行台南APP維護營運暨功能強化」資訊服務採購案,1470000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200709&fn=BDM-1-53136788.xml
2019,臺南市政府觀光旅遊局,「108年度台南旅遊網與旅行台南APP維護營運暨功能強化」資訊服務採購案,1180000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190524&fn=BDM-1-52779496.xml
2019,臺南市政府經濟發展局,108年度臺南市地方產業創新研發推動計畫(地方型SBIR),3420000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190211&fn=BDM-1-52697574.xml
2020,臺南市停車管理處,臺南市智慧停車資料收容暨資訊發布系統建置案,4500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201231&fn=BDM-1-53296385.xml
2020,臺南市停車管理處,109年臺南市停車場智慧停管設備暨4G通訊模組維護案,3150000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201127&fn=BDM-1-53254236.xml
2019,臺南市立圖書館,臺南市立圖書館入口網站建置案,1540000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190904&fn=BDM-1-52863739.xml
2019,臺南市政府警察局刑事警察大隊,108年刑案大數據分析平臺建置案,17318000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191230&fn=BDM-1-52975281.xml
2019,臺南市政府警察局刑事警察大隊,108年臺南市涉案車輛查緝網更新案,12836010,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190730&fn=BDM-1-52835141.xml
