year,unit,case,amount,url
2020,臺南市政府消防局,臺南市政府消防局109年度歐式消防衣等個人防護裝備採購案,2000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200721&fn=BDM-1-53145996.xml
2021,臺南市政府警察局,行政人員服裝採購案,6400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210910&fn=BDM-1-53502566.xml
2020,臺南市政府警察局,本局109年度常年訓練服裝採購案,1429020,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201230&fn=BDM-1-53292672.xml
2021,臺南市政府勞工局,110年度手工藝類身心障礙者職業訓練,5249960,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210617&fn=BDM-1-53427984.xml
2021,臺南市政府勞工局,110年度美容美髮類失業者職業訓練,7806136,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210304&fn=BDM-1-53343575.xml
2020,臺南市政府勞工局,移工相關法令政策與宣導－動畫製作與播放,1700000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200930&fn=BDM-1-53203618.xml
2020,臺南市政府勞工局,109年度現場徵才活動,2100000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200309&fn=BDM-1-53033226.xml
2020,臺南市政府勞工局,109年度美容美髮類失業者職業訓練,6787270,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200309&fn=BDM-1-53033325.xml
2021,臺南市政府環境保護局,110年度購置清潔人員工作服開口契約,3465000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210715&fn=BDM-1-53453195.xml
2019,臺南市政府經濟發展局,108年臺南購物節暨商展委託專業服務案,9400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190418&fn=BDM-1-52748714.xml
2020,臺南市立歸仁國民中學,109~110學年度新生制服採購案,1557600,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200603&fn=BDM-1-53105170.xml
